Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
154,'807,North Macedonia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2021,2021,1000 persons,2103.330000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2022,2022,1000 persons,2093.599000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2023,2023,1000 persons,2085.679000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2024,2024,1000 persons,2082.706000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2025,2025,1000 persons,2082.425000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2026,2026,1000 persons,2081.573000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2027,2027,1000 persons,2080.144000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2028,2028,1000 persons,2078.115000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2029,2029,1000 persons,2075.487000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2030,2030,1000 persons,2072.256000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2031,2031,1000 persons,2068.443000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2032,2032,1000 persons,2064.037000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2033,2033,1000 persons,2059.037000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2034,2034,1000 persons,2053.511000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2035,2035,1000 persons,2047.455000,X,
